"species","listID","common","endemic","deepsea","distribution","AphiaID","valid_AphiaID","worms_name","status","kingdom","phylum","class","order","family","genus","valid_name"
"Tubastraea diaphana",NA,"black cup coral",0,0,"STATEWIDE",291252,291252,"Tubastraea diaphana","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Tubastraea","Tubastraea diaphana"
"Balanophyllia hawaiiensis",NA,"",NA,1,"",1448613,286927,"Balanophyllia (Balanophyllia) gigas","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Balanophyllia","Balanophyllia gigas"
"Caryophyllia alcocki",NA,"",NA,1,"",1448623,135136,"Caryophyllia (Caryophyllia) atlantica","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Caryophyllia","Caryophyllia atlantica"
"Dendrophyllia oahensis",NA,"",NA,1,"",345588,286983,"Eguchipsammia fistula","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Dendrophyllia","Eguchipsammia fistula"
"Flabellum pavoninum",NA,"",NA,1,"",1448616,287022,"Flabellum (Flabellum) pavoninum","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Flabellidae","Flabellum","Flabellum pavoninum"
"Trochocyathus oahensis",NA,"",NA,1,"",1509178,216151,"Trochocyathus (Trochocyathus) oahensis","alternate representation","Animalia","Cnidaria","Anthozoa","Scleractinia","Caryophylliidae","Trochocyathus","Trochocyathus oahensis"
"Pavonia plicata",NA,NA,NA,NA,NA,1564049,207267,"Psammocora contigua","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Agariciidae","Pavonia","Psammocora contigua"
"Endopachys oahense",NA,NA,NA,NA,NA,411192,289891,"Endopachys grayi","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Endopachys","Endopachys grayi"
"Stenocyathus vermiformis",NA,NA,NA,NA,NA,135208,135208,"Stenocyathus vermiformis","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Stenocyathidae","Stenocyathus","Stenocyathus vermiformis"
"Zoanthus sandvicensis",NA,NA,NA,NA,NA,1563119,NA,NA,"unassessed","Animalia","Cnidaria","Anthozoa","Zoantharia","Zoanthidae","Zoanthus",NA
"Leiopathes glaberrima",NA,NA,NA,NA,NA,103326,103326,"Leiopathes glaberrima","accepted","Animalia","Cnidaria","Anthozoa","Antipatharia","Leiopathidae","Leiopathes","Leiopathes glaberrima"
"Carybdea rastonii",NA,NA,NA,NA,NA,287143,287143,"Carybdea rastonii","accepted","Animalia","Cnidaria","Cubozoa","Carybdeida","Carybdeidae","Carybdea","Carybdea rastonii"
"Staurocladia acuminata",NA,NA,NA,NA,NA,284624,284624,"Staurocladia acuminata","accepted","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Cladonematidae","Staurocladia","Staurocladia acuminata"
"Staurocladia alternata",NA,NA,NA,NA,NA,284625,284625,"Staurocladia alternata","accepted","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Cladonematidae","Staurocladia","Staurocladia alternata"
"Staurocladia bilateralis",NA,NA,NA,NA,NA,284626,284626,"Staurocladia bilateralis","accepted","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Cladonematidae","Staurocladia","Staurocladia bilateralis"
"Staurocladia oahuensis",NA,NA,NA,NA,NA,284629,284629,"Staurocladia oahuensis","accepted","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Cladonematidae","Staurocladia","Staurocladia oahuensis"
"Halecium beanii",NA,NA,NA,NA,NA,157947,157947,"Halecium beanii","accepted","Animalia","Cnidaria","Hydrozoa","Leptothecata","Haleciidae","Halecium","Halecium beanii"
"Halopteris diaphana",NA,NA,NA,NA,NA,117632,117632,"Halopteris diaphana","accepted","Animalia","Cnidaria","Hydrozoa","Leptothecata","Halopterididae","Halopteris","Halopteris diaphana"
"Plumularia buskii",NA,NA,NA,NA,NA,843048,117633,"Halopteris glutinosa","unaccepted","Animalia","Cnidaria","Hydrozoa","Leptothecata","Plumulariidae","Plumularia","Halopteris glutinosa"
"Solanderia misakinensis",NA,NA,NA,NA,NA,288713,288713,"Solanderia misakinensis","accepted","Animalia","Cnidaria","Hydrozoa","Anthoathecata","Solanderiidae","Solanderia","Solanderia misakinensis"
"Abyla Huxleyi",NA,NA,NA,NA,NA,956849,135403,"Abylopsis tetragona","unaccepted","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Abylidae","Abyla","Abylopsis tetragona"
"Physalia physalis",NA,NA,NA,NA,NA,135479,135479,"Physalia physalis","accepted","Animalia","Cnidaria","Hydrozoa","Siphonophorae","Physaliidae","Physalia","Physalia physalis"
"Atolla alexandri",NA,NA,NA,NA,NA,1387009,135282,"Atolla wyvillei","unaccepted","Animalia","Cnidaria","Scyphozoa","Coronatae","Atollidae","Atolla","Atolla wyvillei"
"Psammocora profundacella",NA,NA,NA,NA,NA,207271,207271,"Psammocora profundacella","accepted","Animalia","Cnidaria","Anthozoa","Scleractinia","Psammocoridae","Psammocora","Psammocora profundacella"
"Anisopsammia amphelioides",NA,NA,NA,NA,NA,1348810,135190,"Enallopsammia rostrata","junior subjective synonym","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","Anisopsammia","Enallopsammia rostrata"
