"scientificname","AphiaID","valid_AphiaID","worms_name","status","kingdom","phylum","class","order","family","rank","genus","species","origin","endemic","deepsea","distribution","localName","common","fishery"
"Gitana liliuokalaniae",423387,423387,"Gitana liliuokalaniae","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Species","Gitana","Gitana liliuokalaniae","bishop",NA,NA,NA,NA,NA,NA
"Gitanopsis pele",423398,488424,"Hourstonius pele","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Amphilochidae","Species","Gitanopsis","Hourstonius pele","bishop",NA,NA,NA,NA,NA,NA
"Mokuoloe ninole",431722,431722,"Mokuoloe ninole","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyproideidae","Species","Mokuoloe","Mokuoloe ninole","bishop",NA,NA,NA,NA,NA,NA
"Ampithoe (Pleonexes) poipu",1382111,1262319,"Pleonexes poipu","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Ampithoe","Pleonexes poipu","bishop",NA,NA,NA,NA,NA,NA
"Ampithoe akuolaka",423080,423080,"Ampithoe akuolaka","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Ampithoe","Ampithoe akuolaka","bishop",NA,NA,NA,NA,NA,NA
"Ampithoe kaneohe",423101,492140,"Pleonexes kaneohe","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Ampithoe","Pleonexes kaneohe","bishop",NA,NA,NA,NA,NA,NA
"Ampithoe orientalis",492240,492241,"Sunamphitoe orientalis","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Ampithoe","Sunamphitoe orientalis","bishop",NA,NA,NA,NA,NA,NA
"Ampithoe ramondi",102000,102000,"Ampithoe ramondi","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Ampithoe","Ampithoe ramondi","bishop",NA,NA,NA,NA,NA,NA
"Ampithoe waialua",423133,423133,"Ampithoe waialua","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Ampithoe","Ampithoe waialua","bishop",NA,NA,NA,NA,NA,NA
"Cymadusa filosa",102007,102007,"Cymadusa filosa","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Cymadusa","Cymadusa filosa","bishop",NA,NA,NA,NA,NA,NA
"Cymadusa filosa",492223,388967,"Cymadusa ledoyeri","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Cymadusa","Cymadusa ledoyeri","bishop",NA,NA,NA,NA,NA,NA
"Cymadusa hawaiensis",488530,488530,"Cymadusa hawaiensis","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Cymadusa","Cymadusa hawaiensis","bishop",NA,NA,NA,NA,NA,NA
"Cymadusa oceanica",488540,488540,"Cymadusa oceanica","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Cymadusa","Cymadusa oceanica","bishop",NA,NA,NA,NA,NA,NA
"Paragrubia vorax",220769,220769,"Paragrubia vorax","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Paragrubia","Paragrubia vorax","bishop",NA,NA,NA,NA,NA,NA
"Paragrubia vorax",492238,488562,"Paragrubia latipoda","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Paragrubia","Paragrubia latipoda","bishop",NA,NA,NA,NA,NA,NA
"Anamixis moana",510225,510225,"Anamixis moana","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Species","Anamixis","Anamixis moana","bishop",NA,NA,NA,NA,NA,NA
"Aloiloi nenue",491898,491898,"Aloiloi nenue","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Kamakidae","Species","Aloiloi","Aloiloi nenue","bishop",NA,NA,NA,NA,NA,NA
"Aoroides columbiae",488680,488680,"Aoroides columbiae","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Aoroides","Aoroides columbiae","bishop",NA,NA,NA,NA,NA,NA
"Aoroides nahili",488689,488689,"Aoroides nahili","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Aoroides","Aoroides nahili","bishop",NA,NA,NA,NA,NA,NA
"Bemlos aequimanus",488722,488722,"Bemlos aequimanus","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Bemlos","Bemlos aequimanus","bishop",NA,NA,NA,NA,NA,NA
"Bemlos concavus",488729,488729,"Bemlos concavus","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Bemlos","Bemlos concavus","bishop",NA,NA,NA,NA,NA,NA
"Bemlos intermedius",488739,488739,"Bemlos intermedius","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Bemlos","Bemlos intermedius","bishop",NA,NA,NA,NA,NA,NA
"Bemlos macromanus",488743,488743,"Bemlos macromanus","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Bemlos","Bemlos macromanus","bishop",NA,NA,NA,NA,NA,NA
"Bemlos pualani",488750,488750,"Bemlos pualani","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Bemlos","Bemlos pualani","bishop",NA,NA,NA,NA,NA,NA
"Bemlos waipio",488773,488773,"Bemlos waipio","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Bemlos","Bemlos waipio","bishop",NA,NA,NA,NA,NA,NA
"Grandidierella bispinosa",488796,488796,"Grandidierella bispinosa","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Grandidierella","Grandidierella bispinosa","bishop",NA,NA,NA,NA,NA,NA
"Grandidierella dentimera",488799,488799,"Grandidierella dentimera","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Grandidierella","Grandidierella dentimera","bishop",NA,NA,NA,NA,NA,NA
"Grandidierella japonica",238740,238740,"Grandidierella japonica","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Grandidierella","Grandidierella japonica","bishop",NA,NA,NA,NA,NA,NA
"Grandidierella koa",488809,488809,"Grandidierella koa","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Grandidierella","Grandidierella koa","bishop",NA,NA,NA,NA,NA,NA
"Grandidierella makena",488813,488813,"Grandidierella makena","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Grandidierella","Grandidierella makena","bishop",NA,NA,NA,NA,NA,NA
"Grandidierella palama",488818,488818,"Grandidierella palama","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Grandidierella","Grandidierella palama","bishop",NA,NA,NA,NA,NA,NA
"Konatopus paao",545590,545590,"Konatopus paao","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Neomegamphopidae","Species","Konatopus","Konatopus paao","bishop",NA,NA,NA,NA,NA,NA
"Lembos kamanu",1382442,488740,"Bemlos kamanu","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Lembos","Bemlos kamanu","bishop",NA,NA,NA,NA,NA,NA
"Lembos leapakahi",1382462,488786,"Globosolembos leapakahi","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Aoridae","Species","Lembos","Globosolembos leapakahi","bishop",NA,NA,NA,NA,NA,NA
"Biancolina mauihina",410458,410458,"Biancolina mauihina","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ampithoidae","Species","Biancolina","Biancolina mauihina","bishop",NA,NA,NA,NA,NA,NA
"Tropichelura insulae",431271,431271,"Tropichelura insulae","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Cheluridae","Species","Tropichelura","Tropichelura insulae","bishop",NA,NA,NA,NA,NA,NA
"Colomastix kapiolani",431297,431297,"Colomastix kapiolani","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Colomastigidae","Species","Colomastix","Colomastix kapiolani","bishop",NA,NA,NA,NA,NA,NA
"Colomastix lunalilo",431300,431300,"Colomastix lunalilo","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Colomastigidae","Species","Colomastix","Colomastix lunalilo","bishop",NA,NA,NA,NA,NA,NA
"Colomastix pusilla",102076,102076,"Colomastix pusilla","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Colomastigidae","Species","Colomastix","Colomastix pusilla","bishop",NA,NA,NA,NA,NA,NA
"Corophium acherusicum",102082,225814,"Monocorophium acherusicum","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Species","Corophium","Monocorophium acherusicum","bishop",NA,NA,NA,NA,NA,NA
"Corophium insidiosum",102092,148592,"Monocorophium insidiosum","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","Species","Corophium","Monocorophium insidiosum","bishop",NA,NA,NA,NA,NA,NA
"Ericthonius brasiliensis",102401,102401,"Ericthonius brasiliensis","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Species","Ericthonius","Ericthonius brasiliensis","bishop",NA,NA,NA,NA,NA,NA
"Paradexamine (Wailele) maunaloa",1382101,489446,"Paradexamine maunaloa","alternate representation","Animalia","Arthropoda","Malacostraca","Amphipoda","Dexaminidae","Species","Paradexamine","Paradexamine maunaloa","bishop",NA,NA,NA,NA,NA,NA
"Paramoera lokowai",550354,550354,"Paramoera lokowai","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Species","Paramoera","Paramoera lokowai","bishop",NA,NA,NA,NA,NA,NA
"Paramoera paakai",550358,550358,"Paramoera paakai","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Species","Paramoera","Paramoera paakai","bishop",NA,NA,NA,NA,NA,NA
"Paramoera rua",550361,550361,"Paramoera rua","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Species","Paramoera","Paramoera rua","bishop",NA,NA,NA,NA,NA,NA
"Pontogeneia pacifica",550520,550518,"Tethygeneia pacifica","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogeneiidae","Species","Pontogeneia","Tethygeneia pacifica","bishop",NA,NA,NA,NA,NA,NA
"Carnarimelita janstocki",535958,535958,"Carnarimelita janstocki","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Species","Carnarimelita","Carnarimelita janstocki","bishop",NA,NA,NA,NA,NA,NA
"Elasmopus diplonyx",531483,531483,"Elasmopus diplonyx","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Elasmopus","Elasmopus diplonyx","bishop",NA,NA,NA,NA,NA,NA
"Elasmopus ecuadorensis",531485,531485,"Elasmopus ecuadorensis","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Elasmopus","Elasmopus ecuadorensis","bishop",NA,NA,NA,NA,NA,NA
"Elasmopus hooheno",531674,531674,"Elasmopus hooheno","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Elasmopus","Elasmopus hooheno","bishop",NA,NA,NA,NA,NA,NA
"Elasmopus molokai",531688,531688,"Elasmopus molokai","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Elasmopus","Elasmopus molokai","bishop",NA,NA,NA,NA,NA,NA
"Elasmopus pectenicrus",102802,102802,"Elasmopus pectenicrus","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Elasmopus","Elasmopus pectenicrus","bishop",NA,NA,NA,NA,NA,NA
"Elasmopus piikoi",531694,531694,"Elasmopus piikoi","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Elasmopus","Elasmopus piikoi","bishop",NA,NA,NA,NA,NA,NA
"Elasmopus pocillimanus",102804,102804,"Elasmopus pocillimanus","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Elasmopus","Elasmopus pocillimanus","bishop",NA,NA,NA,NA,NA,NA
"Elasmopus rapax",102805,102805,"Elasmopus rapax","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Elasmopus","Elasmopus rapax","bishop",NA,NA,NA,NA,NA,NA
"Eriopisa hamakua",509228,490439,"Dulzura hamakua","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Eriopisidae","Species","Eriopisa","Dulzura hamakua","bishop",NA,NA,NA,NA,NA,NA
"Eriopisa laakona",874644,490492,"Metaniphargus laakona","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Eriopisidae","Species","Eriopisa","Metaniphargus laakona","bishop",NA,NA,NA,NA,NA,NA
"Maera insignis",534644,534618,"Mallacoota insignis","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Maera","Mallacoota insignis","bishop",NA,NA,NA,NA,NA,NA
"Maera kaiulani",534884,534870,"Quadrimaera kaiulani","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Maera","Quadrimaera kaiulani","bishop",NA,NA,NA,NA,NA,NA
"Maera pacifica",534883,421522,"Quadrimaera pacifica","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Maera","Quadrimaera pacifica","bishop",NA,NA,NA,NA,NA,NA
"Maera quadrimana",534885,421523,"Quadrimaera quadrimana","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Maera","Quadrimaera quadrimana","bishop",NA,NA,NA,NA,NA,NA
"Maera serrata",211397,534878,"Quadrimaera serrata","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Maeridae","Species","Maera","Quadrimaera serrata","bishop",NA,NA,NA,NA,NA,NA
"Melita pahuwai",537228,537228,"Melita pahuwai","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Species","Melita","Melita pahuwai","bishop",NA,NA,NA,NA,NA,NA
"Metaniphargus laakona",490492,490492,"Metaniphargus laakona","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Hadziidae","Species","Metaniphargus","Metaniphargus laakona","bishop",NA,NA,NA,NA,NA,NA
"Nuuanu amikai",545428,545428,"Nuuanu amikai","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Nuuanuidae","Species","Nuuanu","Nuuanu amikai","bishop",NA,NA,NA,NA,NA,NA
"Rotomelita ana",537247,537247,"Rotomelita ana","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Species","Rotomelita","Rotomelita ana","bishop",NA,NA,NA,NA,NA,NA
"Rotomelita lokoa",537246,537246,"Rotomelita lokoa","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Melitidae","Species","Rotomelita","Rotomelita lokoa","bishop",NA,NA,NA,NA,NA,NA
"Chevalia aviculae",211408,211408,"Chevalia aviculae","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Chevaliidae","Species","Chevalia","Chevalia aviculae","bishop",NA,NA,NA,NA,NA,NA
"Gammaropsis afra",214704,548600,"Latigammaropsis afra","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Gammaropsis","Latigammaropsis afra","bishop",NA,NA,NA,NA,NA,NA
"Gammaropsis alamoana",548530,548530,"Gammaropsis alamoana","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Gammaropsis","Gammaropsis alamoana","bishop",NA,NA,NA,NA,NA,NA
"Gammaropsis digitata",548540,548540,"Gammaropsis digitata","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Gammaropsis","Gammaropsis digitata","bishop",NA,NA,NA,NA,NA,NA
"Gammaropsis haleiwa",1382415,491949,"Ledoyerella haleiwa","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Gammaropsis","Ledoyerella haleiwa","bishop",NA,NA,NA,NA,NA,NA
"Gammaropsis kaumaka",1382445,548608,"Latigammaropsis kaumaka","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Gammaropsis","Latigammaropsis kaumaka","bishop",NA,NA,NA,NA,NA,NA
"Gammaropsis pali",1382525,548610,"Latigammaropsis pali","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Gammaropsis","Latigammaropsis pali","bishop",NA,NA,NA,NA,NA,NA
"Gammaropsis pokipoki",548579,548579,"Gammaropsis pokipoki","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Gammaropsis","Gammaropsis pokipoki","bishop",NA,NA,NA,NA,NA,NA
"Photis aina",548634,548634,"Photis aina","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Photis","Photis aina","bishop",NA,NA,NA,NA,NA,NA
"Photis hawaiensis",548652,548652,"Photis hawaiensis","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Photis","Photis hawaiensis","bishop",NA,NA,NA,NA,NA,NA
"Photis kapapa",214713,214713,"Photis kapapa","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Photidae","Species","Photis","Photis kapapa","bishop",NA,NA,NA,NA,NA,NA
"Ischyrocerus kapu",491701,491701,"Ischyrocerus kapu","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Species","Ischyrocerus","Ischyrocerus kapu","bishop",NA,NA,NA,NA,NA,NA
"Ischyrocerus oahu",491707,491707,"Ischyrocerus oahu","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Species","Ischyrocerus","Ischyrocerus oahu","bishop",NA,NA,NA,NA,NA,NA
"Jassa lilipuna",1382463,491787,"Neoischyrocerus lilipuna","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Species","Jassa","Neoischyrocerus lilipuna","bishop",NA,NA,NA,NA,NA,NA
"Leucothoe hyhelia",510278,510278,"Leucothoe hyhelia","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Species","Leucothoe","Leucothoe hyhelia","bishop",NA,NA,NA,NA,NA,NA
"Leucothoe lihue",510284,510284,"Leucothoe lihue","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Species","Leucothoe","Leucothoe lihue","bishop",NA,NA,NA,NA,NA,NA
"Leucothoe micronesiae",510288,510288,"Leucothoe micronesiae","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Species","Leucothoe","Leucothoe micronesiae","bishop",NA,NA,NA,NA,NA,NA
"Leucothoe tridens",510318,510318,"Leucothoe tridens","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Species","Leucothoe","Leucothoe tridens","bishop",NA,NA,NA,NA,NA,NA
"Parajassa angularis",491790,889826,"Ruffojassa angularis","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Species","Parajassa","Ruffojassa angularis","bishop",NA,NA,NA,NA,NA,NA
"Ventojassa ventosa",491802,491802,"Ventojassa ventosa","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ischyroceridae","Species","Ventojassa","Ventojassa ventosa","bishop",NA,NA,NA,NA,NA,NA
"Paraleucothoe flindersi",718768,718768,"Paraleucothoe flindersi","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Leucothoidae","Species","Paraleucothoe","Paraleucothoe flindersi","bishop",NA,NA,NA,NA,NA,NA
"Liljeborgia heeia",510551,510551,"Liljeborgia heeia","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Liljeborgiidae","Species","Liljeborgia","Liljeborgia heeia","bishop",NA,NA,NA,NA,NA,NA
"Liljeborgia laniloa",510555,510555,"Liljeborgia laniloa","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Liljeborgiidae","Species","Liljeborgia","Liljeborgia laniloa","bishop",NA,NA,NA,NA,NA,NA
"Cyphocaris anonyx",102554,102554,"Cyphocaris anonyx","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyphocarididae","Species","Cyphocaris","Cyphocaris anonyx","bishop",NA,NA,NA,NA,NA,NA
"Cyphocaris faurei",214723,214723,"Cyphocaris faurei","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyphocarididae","Species","Cyphocaris","Cyphocaris faurei","bishop",NA,NA,NA,NA,NA,NA
"Cyphocaris richardi",102557,102557,"Cyphocaris richardi","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Cyphocarididae","Species","Cyphocaris","Cyphocaris richardi","bishop",NA,NA,NA,NA,NA,NA
"Eurythenes obesus",102564,102564,"Eurythenes obesus","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Eurytheneidae","Species","Eurythenes","Eurythenes obesus","bishop",NA,NA,NA,NA,NA,NA
"Lysianassa ewa",1362274,510655,"Arugella ewa","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Lysianassidae","Species","Lysianassa","Arugella ewa","bishop",NA,NA,NA,NA,NA,NA
"Ochlesis alii",546874,546874,"Ochlesis alii","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Ochlesidae","Species","Ochlesis","Ochlesis alii","bishop",NA,NA,NA,NA,NA,NA
"Kanaloa manoa",489903,489903,"Kanaloa manoa","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Exoedicerotidae","Species","Kanaloa","Kanaloa manoa","bishop",NA,NA,NA,NA,NA,NA
"Palinnotus alaniphlias",548490,548486,"Pereionotus alaniphlias","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Phliantidae","Species","Palinnotus","Pereionotus alaniphlias","bishop",NA,NA,NA,NA,NA,NA
"Mandibulophoxus hawaiiloa",548820,548820,"Mandibulophoxus hawaiiloa","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Phoxocephalidae","Species","Mandibulophoxus","Mandibulophoxus hawaiiloa","bishop",NA,NA,NA,NA,NA,NA
"Parapleustes derzhavini",1387603,394963,"Incisocalliope derzhavini","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Pleustidae","Species","Parapleustes","Incisocalliope derzhavini","bishop",NA,NA,NA,NA,NA,NA
"Parapleustes honomu",549309,549307,"Tepidopleustes honomu","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Pleustidae","Species","Parapleustes","Tepidopleustes honomu","bishop",NA,NA,NA,NA,NA,NA
"Laetmatophilus hala",549797,549797,"Laetmatophilus hala","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Podoceridae","Species","Laetmatophilus","Laetmatophilus hala","bishop",NA,NA,NA,NA,NA,NA
"Podocerus brasiliensis",214744,214744,"Podocerus brasiliensis","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Podoceridae","Species","Podocerus","Podocerus brasiliensis","bishop",NA,NA,NA,NA,NA,NA
"Podocerus hanapepe",550170,550170,"Podocerus hanapepe","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Podoceridae","Species","Podocerus","Podocerus hanapepe","bishop",NA,NA,NA,NA,NA,NA
"Podocerus talegus",550189,550189,"Podocerus talegus","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Podoceridae","Species","Podocerus","Podocerus talegus","bishop",NA,NA,NA,NA,NA,NA
"Seba ekepuu",554788,554788,"Seba ekepuu","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Sebidae","Species","Seba","Seba ekepuu","bishop",NA,NA,NA,NA,NA,NA
"Stenothoe gallensis",103163,103163,"Stenothoe gallensis","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Stenothoidae","Species","Stenothoe","Stenothoe gallensis","bishop",NA,NA,NA,NA,NA,NA
"Stenothoe gallensis",555297,103160,"Stenothoe eduardi","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Stenothoidae","Species","Stenothoe","Stenothoe eduardi","bishop",NA,NA,NA,NA,NA,NA
"Stenothoe haleloke",555302,555302,"Stenothoe haleloke","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Stenothoidae","Species","Stenothoe","Stenothoe haleloke","bishop",NA,NA,NA,NA,NA,NA
"Stenothoe valida",103175,103175,"Stenothoe valida","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Stenothoidae","Species","Stenothoe","Stenothoe valida","bishop",NA,NA,NA,NA,NA,NA
"Hyachelia tortugae",490601,490601,"Hyachelia tortugae","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Hyachelia","Hyachelia tortugae","bishop",NA,NA,NA,NA,NA,NA
"Hyale affinis",1382288,491468,"Protohyale (Protohyale) affinis","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Hyale","Protohyale affinis","bishop",NA,NA,NA,NA,NA,NA
"Hyale galateae",955366,490625,"Protohyale galateae","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Hyale","Protohyale galateae","bishop",NA,NA,NA,NA,NA,NA
"Hyale grandicornis",214755,237121,"Apohyale grandicornis","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Hyale","Apohyale grandicornis","bishop",NA,NA,NA,NA,NA,NA
"Hyale honoluluensis",955368,491482,"Protohyale (Protohyale) honoluluensis","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Hyale","Protohyale honoluluensis","bishop",NA,NA,NA,NA,NA,NA
"Hyale iole",1382435,491503,"Ptilohyale iole","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Hyale","Ptilohyale iole","bishop",NA,NA,NA,NA,NA,NA
"Hyale laie",1382456,491484,"Protohyale (Protohyale) laie","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Hyale","Protohyale laie","bishop",NA,NA,NA,NA,NA,NA
"Hyale media",878560,236950,"Apohyale media","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Hyale","Apohyale media","bishop",NA,NA,NA,NA,NA,NA
"Hyale waimea",509398,490658,"Lelehua waimea","unaccepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Hyale","Lelehua waimea","bishop",NA,NA,NA,NA,NA,NA
"Orchestia platensis",103210,103217,"Platorchestia platensis","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","Species","Orchestia","Platorchestia platensis","bishop",NA,NA,NA,NA,NA,NA
"Parhyale hawaiensis",221362,221362,"Parhyale hawaiensis","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Hyalidae","Species","Parhyale","Parhyale hawaiensis","bishop",NA,NA,NA,NA,NA,NA
"Parhyalella pietschmanni",489574,489574,"Parhyalella pietschmanni","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Dogielinotidae","Species","Parhyalella","Parhyalella pietschmanni","bishop",NA,NA,NA,NA,NA,NA
"Platorchestia lanipo",557046,1328297,"Laniporchestia lanipo","superseded combination","Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","Species","Platorchestia","Laniporchestia lanipo","bishop",NA,NA,NA,NA,NA,NA
"Platorchestia platensis",103217,103217,"Platorchestia platensis","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Talitridae","Species","Platorchestia","Platorchestia platensis","bishop",NA,NA,NA,NA,NA,NA
"Brachyscelus rapacoides",421622,421622,"Brachyscelus rapacoides","accepted","Animalia","Arthropoda","Malacostraca","Amphipoda","Brachyscelidae","Species","Brachyscelus","Brachyscelus rapacoides","bishop",NA,NA,NA,NA,NA,NA
